Cell#,ROI Name,ROI#,RMS,Reflectance,RMS_t^2,Diffusion
11,nuc,8,None,None,0.007979426,0.004141155
11,nuc,9,None,None,0.006703345,0.004350777
12,nuc,0,None,None,0.008288891,0.00381416
12,nuc,1,None,None,0.007703225,0.004107468
12,nuc,10,None,None,0.007628401,0.004143424
12,nuc,11,None,None,0.006031921,0.005015003
12,nuc,12,None,None,0.006174197,0.004885017
12,nuc,13,None,None,0.008108327,0.004686222
12,nuc,14,None,None,0.007341927,0.004979996
12,nuc,15,None,None,0.009802771,0.004096417
12,nuc,16,None,None,0.005920612,0.004941974
12,nuc,17,None,None,0.006978898,0.00480736
12,nuc,18,None,None,0.005855548,0.004690615
12,nuc,19,None,None,0.006750928,0.003903264
12,nuc,2,None,None,0.009066597,0.004305561
12,nuc,20,None,None,0.00745716,0.003653048
12,nuc,21,None,None,0.004341866,0.004874591
12,nuc,3,None,None,0.009189848,0.004017233
12,nuc,4,None,None,0.007549657,0.004255745
12,nuc,5,None,None,0.00910969,0.003933252
12,nuc,6,None,None,0.009518156,0.003080861
12,nuc,7,None,None,0.006551713,0.004809172
12,nuc,8,None,None,0.010280011,0.003749705
12,nuc,9,None,None,0.00739815,0.004392786
13,nuc,0,None,None,0.007929549,0.003741201
13,nuc,1,None,None,0.007624434,0.003945828
13,nuc,10,None,None,0.007726776,0.004099508
13,nuc,11,None,None,0.007462634,0.004717796
13,nuc,12,None,None,0.007189802,0.00447406
13,nuc,13,None,None,0.008217506,0.004543111
13,nuc,14,None,None,0.007248304,0.004746172
13,nuc,15,None,None,0.008769782,0.004319633
13,nuc,16,None,None,0.005303323,0.005205859
13,nuc,17,None,None,0.006407721,0.005010553
13,nuc,18,None,None,0.006842863,0.004176532
13,nuc,19,None,None,0.007674194,0.003610931
13,nuc,2,None,None,0.009123876,0.004262813
13,nuc,20,None,None,0.00622918,0.003825723
13,nuc,21,None,None,0.004775622,0.004651352
13,nuc,3,None,None,0.009168913,0.003859311
13,nuc,4,None,None,0.007627289,0.004169749
13,nuc,5,None,None,0.009602814,0.003739322
13,nuc,6,None,None,0.008766334,0.003165782
13,nuc,7,None,None,0.006547138,0.004366104
13,nuc,8,None,None,0.007358627,0.004414323
13,nuc,9,None,None,0.006883575,0.004583886
14,nuc,0,None,None,0.007092765,0.004014647
14,nuc,1,None,None,0.006755198,0.004465948
14,nuc,10,None,None,0.007585371,0.004216814
14,nuc,11,None,None,0.006929169,0.004767981
14,nuc,12,None,None,0.006594793,0.00453581
14,nuc,13,None,None,0.007279066,0.004885694
14,nuc,14,None,None,0.006912384,0.004974049
14,nuc,15,None,None,0.009063564,0.004149107
14,nuc,16,None,None,0.005622719,0.004944411
14,nuc,17,None,None,0.006042472,0.00508932
14,nuc,18,None,None,0.006484832,0.004323007
14,nuc,19,None,None,0.007321195,0.003575754
14,nuc,2,None,None,0.008753945,0.004217951
14,nuc,20,None,None,0.006550508,0.003845117
14,nuc,21,None,None,0.005236569,0.004178111
14,nuc,3,None,None,0.008724963,0.003970803
14,nuc,4,None,None,0.007423128,0.004237904
14,nuc,5,None,None,0.010413927,0.003655168
14,nuc,6,None,None,0.008697807,0.003242867
14,nuc,7,None,None,0.006237934,0.00451539
14,nuc,8,None,None,0.007840275,0.004483095
14,nuc,9,None,None,0.006060771,0.004852299
15,nuc,0,None,None,0.007830757,0.00398174
15,nuc,1,None,None,0.007351297,0.004260946
15,nuc,10,None,None,0.0070349,0.004337605
15,nuc,11,None,None,0.007452703,0.004657236
15,nuc,12,None,None,0.00644962,0.004770643
15,nuc,13,None,None,0.007271374,0.004973426
15,nuc,14,None,None,0.007267507,0.004739698
15,nuc,15,None,None,0.009304412,0.00409418
15,nuc,16,None,None,0.006227559,0.004803937
15,nuc,17,None,None,0.006700392,0.004863135
15,nuc,18,None,None,0.00693151,0.004201962
15,nuc,19,None,None,0.006193623,0.004097121
15,nuc,2,None,None,0.008503712,0.00441949
15,nuc,20,None,None,0.007751501,0.003598152
15,nuc,21,None,None,0.005011519,0.004497256
15,nuc,3,None,None,0.00854719,0.004276119
15,nuc,4,None,None,0.007335096,0.004280594
15,nuc,5,None,None,0.009255108,0.003577282
15,nuc,6,None,None,0.009112689,0.003211427
15,nuc,7,None,None,0.006659894,0.004441595
15,nuc,8,None,None,0.006070241,0.004869765
15,nuc,9,None,None,0.006897387,0.00480321
16,nuc,0,None,None,0.008065444,0.003808707
16,nuc,1,None,None,0.007403385,0.004253806
16,nuc,10,None,None,0.006891352,0.004343891
16,nuc,11,None,None,0.006345271,0.005069239
16,nuc,12,None,None,0.006769226,0.004520883
16,nuc,13,None,None,0.008388936,0.004653908
16,nuc,14,None,None,0.007386203,0.00493497
