Cell#,ROI Name,ROI#,RMS,Reflectance,D
12,nuc,18,0.141209,1.0778563,2.43035455
12,nuc,19,0.1318394,1.116014,2.374917149
12,nuc,2,0.15587679,1.2218518,2.507769794
12,nuc,20,0.11439681,0.98453885,2.257767548
12,nuc,21,0.10608517,0.89277035,2.19535588
12,nuc,3,0.1581919,1.2122815,2.519054735
12,nuc,4,0.14742245,1.2213609,2.464448848
12,nuc,5,0.17392401,1.1830751,2.589788609
12,nuc,6,0.13295536,1.1339204,2.381783533
12,nuc,7,0.13792902,1.070391,2.411516385
12,nuc,8,0.13128507,1.2148727,2.371479418
12,nuc,9,0.14096351,1.1867322,2.428965478
13,nuc,0,0.16549413,1.1502368,2.553102854
13,nuc,1,0.15868798,1.1953295,2.521441351
13,nuc,10,0.14029619,1.1108303,2.425172736
13,nuc,11,0.11058287,0.9654171,2.229642619
13,nuc,12,0.13717343,1.1231477,2.40708987
13,nuc,13,0.1675526,1.0860752,2.562306236
13,nuc,14,0.16869669,1.2777147,2.567351131
13,nuc,15,0.15389012,1.1785569,2.497892134
13,nuc,16,0.1112448,1.0940095,2.234587487
13,nuc,17,0.13531542,1.0771031,2.396067852
13,nuc,18,0.13637187,1.0776991,2.402358875
13,nuc,19,0.12940851,1.1136792,2.359707472
13,nuc,2,0.1532422,1.223922,2.494631371
13,nuc,20,0.11767011,0.9943783,2.281183793
13,nuc,21,0.10695505,0.89052755,2.202079758
13,nuc,3,0.15870915,1.2011466,2.521542948
13,nuc,4,0.14535712,1.2076054,2.453337896
13,nuc,5,0.17612672,1.1899246,2.598953804
13,nuc,6,0.13552248,1.1306095,2.397305867
13,nuc,7,0.13711798,1.0694369,2.406763759
13,nuc,8,0.13329472,1.2168443,2.383857251
13,nuc,9,0.13518108,1.1961094,2.395263324
14,nuc,0,0.16727763,1.1519613,2.561086333
14,nuc,1,0.15443791,1.1953337,2.500633813
14,nuc,10,0.13968684,1.1171722,2.421687801
14,nuc,11,0.115440995,0.9674042,2.265309696
14,nuc,12,0.1362627,1.1152496,2.401711717
14,nuc,13,0.1638561,1.0834988,2.545659812
14,nuc,14,0.16847342,1.2769936,2.566370498
14,nuc,15,0.152203,1.1795459,2.489360523
14,nuc,16,0.11339465,1.1045343,2.250464743
14,nuc,17,0.13981724,1.069705,2.422435325
14,nuc,18,0.13676538,1.0778022,2.404685998
14,nuc,19,0.12989469,1.1131569,2.362777362
14,nuc,2,0.15264541,1.2142624,2.491610624
14,nuc,20,0.11972539,0.9975067,2.295547833
14,nuc,21,0.10544787,0.8919956,2.190401789
14,nuc,3,0.15577368,1.19102,2.50726157
14,nuc,4,0.14501204,1.2056316,2.451460315
14,nuc,5,0.1648519,1.1841841,2.550197445
14,nuc,6,0.1348689,1.1179862,2.39338978
14,nuc,7,0.13960023,1.062914,2.421190776
14,nuc,8,0.13556807,1.2021215,2.397578122
14,nuc,9,0.13705291,1.1918851,2.40638085
15,nuc,0,0.18692279,1.1045581,2.641556704
15,nuc,1,0.17800099,1.1465019,2.606622214
15,nuc,10,0.17323382,1.0735928,2.586882165
15,nuc,11,0.13771111,0.92810553,2.410243083
15,nuc,12,0.1654276,1.0801053,2.552802637
15,nuc,13,0.18969046,1.0414208,2.651885851
15,nuc,14,0.20796792,1.2280507,2.714730566
15,nuc,15,0.18687294,1.1330312,2.641368464
15,nuc,16,0.14732973,1.0691274,2.463954637
15,nuc,17,0.15960668,1.0302136,2.52583157
15,nuc,18,0.17386886,1.033849,2.589556982
